product_id,name,category,price,stock,description
1,T-Shirt A,Clothing,25,100,"Cotton, Short Sleeve, Blue, Size M"
2,T-Shirt B,Clothing,30,150,"Polyester, Long Sleeve, Red, Size L"
3,T-Shirt C,Clothing,28,120,"Linen, V-neck, Green, Size S"
4,T-Shirt D,Clothing,32,110,"Cotton Blend, Crew Neck, Black, Size XL"
5,Jeans A,Clothing,50,80,"Slim Fit, Dark Wash, Stretch, Size 32"
6,Jeans B,Clothing,45,90,"Regular Fit, Light Wash, Size 30"
7,Jeans C,Clothing,55,70,"Skinny, Ripped, Blue, Size 28"
8,Jeans D,Clothing,52,65,"Straight, Black, Non-stretch, Size 34"
9,Jacket A,Clothing,120,50,"Leather, Black, Zipper, Size M"
10,Jacket B,Clothing,100,60,"Bomber, Green, Pockets, Size L"
11,Jacket C,Clothing,110,55,"Denim, Blue, Button-up, Size S"
12,Jacket D,Clothing,130,45,"Windbreaker, Red, Hooded, Size XL"
13,Sneakers A,Shoes,80,120,"White, Lace-up, Rubber Sole, Size 42"
14,Sneakers B,Shoes,75,110,"Black, Slip-on, Cushioned, Size 41"
15,Sneakers C,Shoes,90,100,"Running, Mesh, Gray, Size 43"
16,Sneakers D,Shoes,85,95,"High-top, Canvas, Navy, Size 40"
17,Socks A,Clothing,10,200,"Cotton, Ankle Length, White"
18,Socks B,Clothing,12,180,"Wool, Crew Length, Gray"
19,Socks C,Clothing,11,190,"Bamboo, No-show, Black"
20,Socks D,Clothing,13,175,"Sport, Moisture-wicking, Multicolor"
21,Hat A,Accessories,20,150,"Fedora, Wool, Brown"
22,Hat B,Accessories,18,140,"Baseball Cap, Cotton, Blue"
23,Hat C,Accessories,22,130,"Beanie, Knitted, Navy"
24,Hat D,Accessories,19,120,"Sun Hat, Straw, Beige"
25,Scarf A,Accessories,25,130,"Silk, Red, Lightweight"
26,Scarf B,Accessories,22,120,"Wool, Gray, Thick"
27,Scarf C,Accessories,28,110,"Cashmere, Light Pink"
28,Scarf D,Accessories,24,115,"Polyester, Patterned, Green"
29,Belt A,Accessories,30,100,"Leather, Black, Adjustable"
30,Belt B,Accessories,25,110,"Canvas, Brown, Adjustable"
31,Belt C,Accessories,28,95,"Elastic, Black, Slim"
32,Belt D,Accessories,32,90,"Braided, Tan, Leather"
33,Sunglasses A,Accessories,60,80,"Aviator, UV Protection, Metal Frame"
34,Sunglasses B,Accessories,55,90,"Round, Polarized, Plastic Frame"
35,Sunglasses C,Accessories,65,70,"Cat Eye, Gradient, Gold Frame"
36,Sunglasses D,Accessories,58,75,"Sports, Shatterproof, Black"
37,Watch A,Accessories,150,70,"Analog, Leather Strap, Water Resistant"
38,Watch B,Accessories,120,100,"Digital, Rubber Strap, Stopwatch"
39,Watch C,Accessories,160,60,"Chronograph, Stainless Steel, Water Resistant"
40,Watch D,Accessories,180,55,"Smartwatch, Black, Fitness Tracking"
41,Bracelet A,Accessories,40,150,"Gold Plated, Chain, Adjustable"
42,Bracelet B,Accessories,35,140,"Silver, Beaded, Stretch"
43,Bracelet C,Accessories,38,130,"Leather, Braided, Brown"
44,Bracelet D,Accessories,42,125,"Charm, Multicolor, Adjustable"
45,Necklace A,Accessories,60,120,"Pendant, Gold, 18 inches"
46,Necklace B,Accessories,50,130,"Choker, Silver, 16 inches"
47,Necklace C,Accessories,65,115,"Layered, Rose Gold, 20 inches"
48,Necklace D,Accessories,70,110,"Statement, Beaded, Multicolor"
49,Perfume A,Perfumes,80,200,"Floral, 50ml, Eau de Parfum"
50,Perfume B,Perfumes,70,180,"Citrus, 100ml, Eau de Toilette"
51,Perfume C,Perfumes,90,160,"Woody, 75ml, Eau de Parfum"
52,Perfume D,Perfumes,85,150,"Spicy, 50ml, Eau de Toilette"
53,Shirt A,Clothing,40,90,"Linen, Button-up, White, Size M"
54,Shirt B,Clothing,35,95,"Cotton, Short Sleeve, Patterned, Size L"
55,Shirt C,Clothing,38,85,"Oxford, Long Sleeve, Blue, Size S"
56,Shirt D,Clothing,42,80,"Flannel, Checkered, Red, Size XL"
57,Skirt A,Clothing,45,80,"A-line, Knee Length, Black"
58,Skirt B,Clothing,50,85,"Pencil, Midi, Red"
59,Skirt C,Clothing,48,75,"Pleated, Mini, Navy"
60,Skirt D,Clothing,55,70,"Maxi, Floral, Green"
61,Dress A,Clothing,60,65,"Maxi, Floral Print, Sleeveless"
62,Dress B,Clothing,55,60,"Mini, Solid Color, Long Sleeve"
63,Dress C,Clothing,58,55,"Midi, Wrap Style, Beige"
64,Dress D,Clothing,65,50,"Bodycon, Stretch, Black"
65,Coat A,Clothing,120,45,"Wool, Double Breasted, Camel"
66,Coat B,Clothing,110,50,"Trench, Beige, Belted"
67,Coat C,Clothing,130,40,"Parka, Olive, Hooded"
68,Coat D,Clothing,125,35,"Peacoat, Navy, Buttoned"
69,Gloves A,Accessories,25,100,"Leather, Black, Touchscreen Compatible"
70,Gloves B,Accessories,20,95,"Wool, Gray, Lined"
71,Gloves C,Accessories,28,90,"Ski, Waterproof, Red"
72,Gloves D,Accessories,22,85,"Fingerless, Knitted, Brown"
73,Bag A,Accessories,80,75,"Leather Tote, Brown, Spacious"
74,Bag B,Accessories,70,80,"Backpack, Canvas, Blue"
75,Bag C,Accessories,65,85,"Clutch, Satin, Black"
76,Bag D,Accessories,90,70,"Messenger, Leather, Dark Brown"
77,Wallet A,Accessories,40,95,"Leather, Slim, Black"
78,Wallet B,Accessories,38,90,"RFID, Bifold, Brown"
79,Wallet C,Accessories,35,85,"Zipper, Canvas, Gray"
80,Wallet D,Accessories,42,80,"Trifold, Leather, Navy"
81,Shoes A,Shoes,75,80,"Loafers, Leather, Brown"
82,Shoes B,Shoes,85,70,"Boots, Suede, Black"
83,Shoes C,Shoes,65,90,"Sandals, Leather, Tan"
84,Shoes D,Shoes,70,75,"Heels, Patent, Red"
85,Earrings A,Accessories,30,100,"Stud, Diamond, Silver"
86,Earrings B,Accessories,28,95,"Hoop, Gold, Medium"
87,Earrings C,Accessories,32,90,"Dangle, Crystal, Rose Gold"
88,Earrings D,Accessories,35,85,"Ear Cuffs, Silver, Adjustable"
89,Ring A,Accessories,50,80,"Solitaire, Gold, Size 7"
90,Ring B,Accessories,45,75,"Band, Silver, Size 6"
91,Ring C,Accessories,55,70,"Cocktail, Gemstone, Size 8"
92,Ring D,Accessories,60,65,"Stackable, Mixed Metals, Adjustable"
93,Hat E,Accessories,20,90,"Bucket, Cotton, White"
94,Scarf E,Accessories,30,85,"Infinity, Wool, Charcoal"
95,Perfume E,Perfumes,75,150,"Fresh, 60ml, Eau de Parfum"
96,Perfume F,Perfumes,95,140,"Oriental, 90ml, Eau de Toilette"
97,Socks E,Clothing,12,180,"Cotton, Crew Length, Black"
98,T-Shirt E,Clothing,29,110,"Graphic Tee, Cotton, Yellow, Size M"
99,Jeans E,Clothing,53,65,"Relaxed Fit, Blue, Size 33"
100,Dress E,Clothing,62,55,"Evening Dress, Satin, Navy"
